Date,units
2015-4-16,620
2015-4-17,3398
2015-4-18,70
2015-4-19,1213
2015-4-20,2189
2015-4-21,9908
2015-4-22,8539
2015-4-23,883
2015-4-24,13573
2015-4-25,77
2015-4-26,586
2015-4-27,1263
2015-4-28,7617
2015-4-29,5328
2015-4-30,691
2015-5-1,4139
2015-5-2,26
2015-5-3,138
2015-5-4,5252
2015-5-5,13546
2015-5-6,8306
2015-5-7,1619
2015-5-8,3305
2015-5-9,31
2015-5-10,80
2015-5-11,2018
2015-5-12,10325
2015-5-13,6448
2015-5-14,1028
2015-5-15,4537
2015-5-16,56
2015-5-17,119
2015-5-18,3029
2015-5-19,14146
2015-5-20,11477
2015-5-21,554
2015-5-22,10335
2015-5-24,1276
2015-5-25,2102
2015-5-26,14978
2015-5-27,8941
2015-5-28,1188
2015-5-29,4288
2015-5-30,86
2015-6-1,2391
2015-6-2,11947
2015-6-3,6076
2015-6-4,1146
2015-6-5,3702
2015-6-6,50
2015-6-7,132
2015-6-8,2248
2015-6-9,8184
2015-6-10,7952
2015-6-11,1169
2015-6-12,3661
2015-6-14,989
2015-6-15,3832
2015-6-16,8411
2015-6-17,9918
2015-6-18,2699
2015-6-19,7824
2015-6-20,37
2015-6-21,271
2015-6-22,8494
2015-6-23,10098
2015-6-24,4404
2015-6-25,3352
2015-6-26,7803
2015-6-27,74
2015-6-28,1519
2015-6-29,2862
2015-6-30,13725
2015-7-1,4294
2015-7-2,4128
2015-7-3,4215
2015-7-4,21
2015-7-5,88
2015-7-6,2092
2015-7-7,10485
2015-7-8,11209
2015-7-9,1176
2015-7-10,4829
2015-7-11,40
2015-7-12,183
2015-7-13,1314
2015-7-14,9707
2015-7-15,9815
2015-7-16,1946
2015-7-17,2995
2015-7-18,96
2015-7-19,178
2015-7-20,4298
2015-7-21,9167
2015-7-22,6497
2015-7-23,3480
2015-7-24,5074
2015-7-25,13
2015-7-26,982
2015-7-27,1183
2015-7-28,6948
2015-7-29,9274
2015-7-30,706
2015-7-31,3880
2015-8-1,20
2015-8-2,110
2015-8-3,1351
2015-8-4,10337
2015-8-5,8413
2015-8-6,1619
2015-8-7,3238
2015-8-8,24
2015-8-9,87
2015-8-10,2889
2015-8-11,11429
2015-8-12,5492
2015-8-13,1856
2015-8-14,3669
2015-8-15,1195
2015-8-16,84
2015-8-17,2638
2015-8-18,11510
2015-8-19,11725
2015-8-20,1390
2015-8-21,13040
2015-8-22,74
2015-8-23,1098
2015-8-24,1382
2015-8-25,8704
2015-8-26,6664
2015-8-27,966
2015-8-28,3334
2015-8-29,22
2015-8-30,142
2015-8-31,2165
2015-9-1,9481
2015-9-2,8519
2015-9-3,1745
2015-9-4,3387
2015-9-5,112
2015-9-6,60
2015-9-7,612
2015-9-8,12058
2015-9-9,9669
2015-9-10,1189
2015-9-11,3080
2015-9-12,28
2015-9-14,1719
2015-9-15,12152
2015-9-16,8356
2015-9-17,1736
2015-9-18,3740
2015-9-19,62
2015-9-20,121
2015-9-21,4157
2015-9-22,8430
2015-9-23,6721
2015-9-24,1052
2015-9-25,10745
2015-9-26,86
2015-9-27,743
2015-9-28,1461
2015-9-29,10462
2015-9-30,8315
2015-10-1,1278
2015-10-2,3265
2015-10-3,32
2015-10-4,10
2015-10-5,1986
2015-10-6,12864
2015-10-7,11456
2015-10-8,1693
2015-10-9,3252
2015-10-10,119
2015-10-11,110
2015-10-12,801
2015-10-13,10273
2015-10-14,7752
2015-10-15,3554
2015-10-16,2911
2015-10-17,82
2015-10-18,101
2015-10-19,2593
2015-10-20,8484
2015-10-21,10154
2015-10-22,1572
2015-10-23,12773
2015-10-24,24
2015-10-25,624
2015-10-26,1242
2015-10-27,10902
2015-10-28,9335
2015-10-29,2555
2015-10-30,3913
2015-11-1,127
2015-11-2,446
2015-11-3,9974
2015-11-4,8172
